               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1267,             0.17781,                   0,           0.0040685,            0.041667,           0.0017897,          0.00017897,             0.12388,             0.15577,                   0,             0.00014,             0.00014,             0.09874
                   1,             0.12494,             0.16862,                   0,                   0,                   0,                   0,                   0,             0.12218,             0.16291,                   0,          0.00028997,          0.00028997,             0.09739
                   2,             0.12358,             0.14341,                   0,                   0,                   0,                   0,                   0,             0.12033,             0.16852,                   0,          0.00043985,          0.00043985,             0.09604
                   3,             0.12239,             0.19611,                   0,           0.0053832,            0.041667,           0.0018508,          0.00055524,             0.11895,             0.17256,                   0,          0.00058953,          0.00058953,             0.09469
                   4,              0.1185,             0.18518,                   0,            0.023421,                0.25,            0.014104,            0.003263,             0.11714,             0.17696,                   0,          0.00073896,          0.00073896,            0.093339
                   5,             0.11618,             0.20562,                   0,            0.046007,             0.45833,            0.034712,           0.0070257,             0.11508,             0.18092,                   0,          0.00088805,          0.00088805,            0.091988
                   6,             0.11543,             0.19953,                   0,              0.1105,                 0.5,            0.092922,            0.018726,             0.11121,             0.18987,                   0,           0.0010367,           0.0010367,            0.090637
                   7,             0.11129,             0.20002,                   0,             0.05725,             0.61993,            0.049079,           0.0082231,             0.10611,             0.20245,                   0,           0.0011849,           0.0011849,            0.089285
                   8,             0.10919,             0.23054,                   0,             0.52933,               0.375,              0.3974,            0.061149,             0.10643,             0.18974,                   0,           0.0013325,           0.0013325,            0.087932
                   9,             0.10516,             0.21546,                   0,             0.20898,               0.375,              0.1618,             0.02538,             0.10471,             0.18323,                   0,           0.0014794,           0.0014794,            0.086579
                  10,             0.10433,             0.19458,                   0,             0.16449,             0.54167,              0.1559,            0.030071,             0.10244,             0.18529,                   0,           0.0016257,           0.0016257,            0.085226
                  11,             0.10131,             0.20992,                   0,             0.22656,             0.41667,              0.1622,             0.02399,            0.099795,             0.17764,                   0,           0.0017711,           0.0017711,            0.083871
                  12,             0.10156,             0.20244,                   0,              0.1986,             0.45833,             0.14827,             0.03414,            0.097718,             0.16877,                   0,           0.0019156,           0.0019156,            0.082516
