               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18405,            0.028318,                   0,            0.030809,             0.08631,            0.015677,           0.0030826,             0.17529,            0.022292,                   0,             0.00014,             0.00014,             0.09874
                   1,             0.18397,             0.03226,                   0,            0.029194,            0.092262,            0.015553,           0.0034623,             0.17535,            0.023539,                   0,             0.00029,             0.00029,             0.09739
                   2,             0.17734,            0.052568,                   0,             0.03353,             0.10417,            0.017893,           0.0036374,             0.17495,            0.023726,                   0,          0.00043999,          0.00043999,             0.09604
                   3,             0.17803,            0.044806,                   0,             0.03666,             0.08631,            0.017021,           0.0043235,             0.17424,            0.025153,                   0,          0.00058996,          0.00058996,             0.09469
                   4,             0.17884,             0.03672,                   0,            0.037105,             0.10119,            0.018666,           0.0040081,             0.17337,            0.026174,                   0,          0.00073991,          0.00073991,             0.09334
                   5,             0.17909,            0.040606,                   0,             0.03768,             0.10417,            0.019129,           0.0049774,             0.17271,            0.026865,                   0,          0.00088982,          0.00088982,             0.09199
                   6,             0.17891,            0.034958,                   0,            0.038564,             0.10417,            0.020385,           0.0048199,             0.17161,            0.027623,                   0,           0.0010397,           0.0010397,             0.09064
                   7,             0.17863,            0.038846,                   0,            0.050057,             0.08631,            0.023104,           0.0049571,             0.17106,             0.02797,                   0,           0.0011895,           0.0011895,             0.08929
                   8,              0.1794,            0.037616,                   0,            0.045562,            0.095238,            0.020935,           0.0049287,             0.17012,              0.0284,                   0,           0.0013393,           0.0013393,            0.087939
                   9,             0.17622,            0.036259,                   0,            0.042406,             0.11607,             0.02362,            0.005412,             0.16912,            0.026456,                   0,            0.001489,            0.001489,            0.086589
                  10,             0.17382,            0.037566,                   0,            0.061289,             0.10714,            0.028278,            0.006745,             0.16806,            0.029084,                   0,           0.0016387,           0.0016387,            0.085239
                  11,             0.17229,            0.046223,                   0,            0.060173,             0.13988,            0.030396,           0.0070528,             0.16683,            0.028485,                   0,           0.0017883,           0.0017883,            0.083888
                  12,             0.17281,            0.034383,                   0,            0.073051,             0.12202,            0.035651,           0.0076121,             0.16551,            0.027637,                   0,           0.0019378,           0.0019378,            0.082538
                  13,             0.17528,            0.040225,                   0,            0.090707,            0.092262,            0.032194,           0.0072899,             0.16449,            0.027647,                   0,           0.0020872,           0.0020872,            0.081187
                  14,             0.16855,             0.05177,                   0,            0.095802,            0.098214,            0.036367,           0.0077585,             0.16338,            0.027613,                   0,           0.0022365,           0.0022365,            0.079837
                  15,             0.16705,            0.045876,                   0,            0.091887,            0.089286,            0.031071,           0.0075919,             0.16275,             0.02973,                   0,           0.0023858,           0.0023858,            0.078486
                  16,             0.16889,            0.039316,                   0,            0.090488,               0.125,            0.048615,            0.010324,              0.1611,            0.024953,                   0,           0.0025349,           0.0025349,            0.077135
                  17,             0.16857,            0.037568,                   0,            0.079523,             0.15774,            0.046791,           0.0097173,              0.1608,            0.025406,                   0,           0.0026839,           0.0026839,            0.075784
                  18,             0.16523,            0.038176,                   0,              0.1246,             0.12798,            0.051319,             0.01053,             0.15962,            0.022132,                   0,           0.0028327,           0.0028327,            0.074433
                  19,             0.16289,            0.039433,                   0,             0.11487,             0.11012,            0.048509,           0.0095181,              0.1597,            0.025814,                   0,           0.0029815,           0.0029815,            0.073081
                  20,              0.1641,            0.036455,                   0,             0.19967,            0.095238,            0.059312,           0.0094796,             0.15832,            0.025475,                   0,           0.0031301,           0.0031301,             0.07173
